Name,Price,Category,Image
Aquafina 50cL,3,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464070/Aquafina_0.5L_-_%D8%A3%D9%83%D9%88%D8%A7%D9%81%D9%8A%D9%86%D8%A7_0.5_%D9%84%D8%AA%D8%B1_dj4pv3.png
Aquafina 1.5L,6,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464070/Aquafina_1.5L_-_%D8%A3%D9%83%D9%88%D8%A7%D9%81%D9%8A%D9%86%D8%A7_1.5_%D9%84%D8%AA%D8%B1_umlp5u.png
Aquafina 5L,13,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394610/aquafina_5l_eujlcz.webp
Ciel 33cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748022459/tinywow_5_20250520_232729_0004_80759697_guadku.webp
Ciel 50cl,3,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994471/ciel_0_5l_el635l.webp
Ciel 1.5L,6,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994470/ciel_1_5l_vqmtkv.webp
Ciel 5L,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1743267732/Ciel_5l_-_%D8%B3%D9%8A%D8%A7%D9%84_5_%D9%84%D8%AA%D8%B1_qlzdol.jpg
Oulmes 50cL,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430116/oulmes_50cl_x8vgn1.webp
Oulmes 1L,7.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430184/oulmes_1l_bolael.webp
Ain ifrane 50cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430050/ain_ifrane_50cl_vyxugq.webp
Ain Ifrane 1.5L,6,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430050/ain_ifrane_1_5l_bjrqyu.webp
Ain Ifrane 5L,13,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464019/Ain_Ifrane_5L-%D8%B9%D9%8A%D9%86_%D8%A7%D9%81%D8%B1%D8%A7%D9%86_5_%D9%84%D8%AA%D8%B1_sroyke.png
Bahia 5L,12,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430116/bahia_5l_jsny8a.webp
Ain soltan 5L,13,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394673/ain_soltane_5l_pakfuu.webp
Laiko orangina 1l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394686/laiko_orangina_1l_iamldm.webp
Tops cola 1.5l,7,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394839/tops_cola_1_5l_xwf5rx.webp
Coca Cola 2L,13.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430105/coca_2l_smtcsy.webp
Coca Cola 1.5L,11,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430105/coca_1_5l_j5hlht.webp
Coca Cola 1L,8.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430029/coca_1l_k5rumj.webp
Coca Cola 50cl,5.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430099/coca_50cl_qmq9qr.webp
Coca cola 33cl,4,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430099/coca_33cl_udczjj.webp
Coca Zero 1L,8,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430062/coca_zero_1l_ae9lwf.webp
Coca zero 50cl,5.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430116/coca_zero_50cl_wsomm5.webp
Coca zero 33cl,4,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430114/coca_zero_33cl_hrqn0i.webp
Coca cola 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394700/coca_25cl_n8rf7n.webp
Coca zero 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803796/coca_zero_25cl_jj1yuh.webp
Schweppes citron 25cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394685/Schweppes_citron_25cl_mkk2ey.webp
Schweppes tonic 25cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394686/Schweppes_tonic_25cl_cu7q3v.webp
FANTA ORANGE 25CL,variable,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394700/fanta_orange_25cl_wok6c8.webp
FANTA LEMON 25CL,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394700/fanta_lemon_25cl_c1e7vn.webp
Hawaï Ananas 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394689/hawai_ananas_25cl_lwe0ch.webp
Hawaï  tropical 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464248/Hawa%C3%AF_Canette_tropical_25cl_nlrlwz.png
Poms 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394870/poms_25cl_mngvxa.webp
Sprite 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394686/sprite_citron_25cl_ip3oln.webp
PREDATOR 25CL,6,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394674/Predator_25cl_dij9ao.webp
powerking 25cl,15,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803795/powering_25cl_y4jmv9.webp
Power Horse 25cl,15,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394673/power_horsr_25cl_j2oude.webp
RedBull 25cl,20,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394685/redbull_25cl_w9lcsc.webp
Burn 25cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493112/burn_25cl_sy5m6r.webp
Linx 25cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394673/linx_25cl_jptvj3.webp
Oulmes mojito 25cl,8,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464450/Oulmes_mojito_25cl_gxtkif.png
Oulmes naturel 25cl,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1746297374/tinywow_oulmes_naturel_25cl_79535052_ol5hmq.webp
Oulmes orange 25cl,8,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1746297375/tinywow_oulmes_orange_25cl_79535052_vudins.webp
sting berry 25cl,6,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464568/STING_ENERGY_BERRY_250ml_mknniw.png
sting goold 25cl,6,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464568/STING_ENERGY_GOOLD_250ML_nmofe9.png
FANTA TROPICAL 1.5L,7,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464222/FANTA_tropical_1.5l_jeumav.png
FANTA ORANGE 1.5L,7,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464219/FANTA_ORANGE_1.5L_jvhfni.png
FANTA ORANGE 1L,variable,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464220/FANTA_ORANGE_1L_jkv0fu.png
FANTA CITRON 1.5L,7,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464214/FANTA_CITRON_1.5L_kitvqn.png
FANTA CITRON 1L,variable,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464214/FANTA_CITRON_1L_clnjgi.png
FANTA POMME 1.5L,7,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394839/fanta_apple_1_5l_krccw1.webp
FANTA APPLE 1.5L ,7,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994508/fanta_apple_1_5_l_h9e97j.webp
FANTA GREEN  1.5L,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474931/fanta_green_1_5l_skywtq.webp
FANTA GRENADA 1L,variable,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994393/fanta_grenada_mbcrdx.webp
Hawaï Ananas 1L,9.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464244/Hawa%C3%AF_Ananas_1L_jclaez.png
Hawaï Ananas 50CL,6.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464243/Hawa%C3%AF_Ananas_0.5L_ibgwnw.png
Hawaï Ananas 33cL,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464247/Hawa%C3%AF_Ananas_33cL_zhmyuo.png
Hawaï Tropical 1.7L,15,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394839/hawai_tropical_2l_ch2vwa.webp
Hawaï Tropical 1.3L,12,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994369/hawai_1_3_l_yxdr2v.webp
Hawaï Tropical 1L,9.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1750251717/hawai_1l_uvymls.webp
Hawaï Tropical 50Cl,6.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1750251719/hawai_50cl_fgf0ya.webp
Hawaï Tropical 33cL,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1750251717/hawai_33cl_lzdq3t.webp
Orangina 1l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493115/orangina_1l_onwqpr.webp
Orangina 50cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493114/orangina_50cl_cujfsz.webp
Poms 1.5L,12,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394892/poms_1_5l_zikfcb.webp
Poms 1L,8.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994393/poms_1_l_aadhzi.webp
Poms 33 CL,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464466/Poms_50_CL_mjn7zc.png
Poms 50 CL,6.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994394/poms_0_5l_r2g5sg.webp
schweppes citron 1.3l,14,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464516/SCHWEPPES_CITRON_1.3L_l9gwxk.png
schweppes citron 1l,12.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394656/Schweppes_citron_1l_xmriji.webp
schweppes tonic 1l,12.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394657/Schweppes_tonic_1l_zen47r.webp
schweppes citron 50cl,7.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493113/Schweppes_citron_50cl_zhfkqn.webp
schweppes tonic 50cl,7.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493113/Schweppes_tonic_50cl_mnleg8.webp
Sprite 1.7l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994369/sprite_2l_ncbqk2.webp
Sprite 33cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994471/sprite_33cl_oky8zb.webp
Sprite Citron 1l,7.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994394/sprite_1l_mupbke.webp
Sprite Citron 50cl,5.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994470/sprite_0_5l_phuvjv.webp
Jutos orange 1l,10,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474932/jaouda_jutos_orange_1l_rdf3ql.webp
Jutos cocktail 1l,10,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474932/tinywow_%D8%B5%D8%A8%D8%A7%D8%AD_%D8%A7%D9%84%D8%AE%D9%8A%D8%B1_20250517_101501_0005_80538309_ffcwzi.webp
Simon 1.5l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394700/simon_1_5l_bsynrf.webp
Simon 33cl,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1746435282/simon_33cl_egmzii.webp
pulpy orange 25cl,4.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994508/pulpy_orange_0_5l_rqgqvd.webp
pulpy pêche 25cl,4.5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994508/pulpy_p%C3%AAche_0_5l_zcppwc.webp
pulpy orange 1L,12,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994368/pulpy_orange_1l_y6odek.webp
pulpy pêche 1L,12,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747994369/pulpy_p%C3%AAche_1l_ayxmst.webp
Marrakech limon 1l,variable,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464361/Marrakech_limon_1l_-_%D9%85%D8%B1%D8%A7%D9%83%D8%B4_%D8%A8%D8%B1%D8%AA%D9%82%D8%A7%D9%84_vf1nmz.png
Boustane Cocktail 1L,16,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464099/Boustane_Nectar_Cocktail_de_fruits_1L_shmb1g.png
Boustane Ananas 1L,16,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464099/Boustane_Nectar_Ananas_1L_ey6z7t.png
Boustane Mangue 1L,16,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464100/Boustane_Nectar_Mangue_1L_nrhv1s.png
Boustane Orange 1L,13,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464100/Boustane_Nectar_Orange_1L_h5n31a.png
Boustane  pêche 1L,16,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464101/Boustane_Nectar_p%C3%AAche_1L_nlruep.png
jaouda Nectar orange 1L,5,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748430090/nectar_orange_50cl_agkw25.webp
jaouda Nectar ananas 1l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474931/nectar_ananas_1l_tsfm4f.webp
jaouda Nectar mangue 1l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474931/nectar_mangue_1l_ekwlkf.webp
jaouda Nectar orange 1l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474931/nectar_orange_1l_ffzmzh.webp
jaouda Nectar peche 1l,,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747474931/nectar_peche_1l_emmgmt.webp
jaouda linea 50cl,variable,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464267/Jaouda_linea_0.5l_nnx99h.png
jaouda linea 1l,variable,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493110/jaouda_linea_1l_xddedh.webp
jaouda Croissance lait  50cl,7,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1750184973/jaouda_Croissance_lait_50cl_popc5f.webp
jaouda Lait 50cl,4,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493116/jaouda_lait_50cl_gdzyhs.webp
jaouda entier Lait 50cl,5,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464502/Salim_Jaouda_Lait_0.5l_UHT_sc7ww5.png
jaouda entier Lait 1l,11,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1739464503/Salim_Jaouda_Lait_1l_co8ag4.png
jaouda Ghani lait 200ml,2,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1746435284/jaouda_lait_200ml_q8qer5.webp
jaouda Ghani choco 200ml,2,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1746435293/jaouda_coco_200ml_mbevna.webp
jaouda Ghani frais 200ml,2,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1746435284/jaouda_frais_200ml_hewhsf.webp
jaouda Ghani Jutos 200ml,2,مياه ومشروبات,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1747394840/jutos_20cl_pwsyif.webp
Jaouda raib vanille 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493115/jaouda_ra%C3%AFb_vanille_50cl_sxipr7.webp
Jaouda raïb banane 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493115/jaouda_ra%C3%AFb_50cl_rb7z4t.webp
Jaouda leben 0.5l,5,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493116/jaouda_leben_50cl_dw2d24.webp
Jaouda leben 0.5l,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1749493116/jaouda_leben_0_5l_ryqk8z.webp
jaouda ghilal avocad 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803796/jaouda_avocat_50cl_fronz9.webp
jaouda ghilal cereales 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803796/jaouda_ghilal_cereales_qztzsf.webp
jaouda ghilal panache 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803795/jaouda_panache_50cl_vf8miz.webp
jaouda ghilal frais 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803795/jaouda_ghilal_frais_50cl_zzkvta.webp
jaouda ghilal peach 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803840/jaouda_ghilal_peach_50cl_jryssy.webp
jaouda nectar orange 50cl,6,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803795/jaouda_nectar_50cl_ael9qo.webp
jaouda bnine banane x8 pots,20,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803858/jaouda_bnine_banane_x8_pots_z3d7wh.webp
jaouda bnine frais x8 pots,20,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803857/jaouda_bnine_frais_x8_pots_b1y8sk.webp
jaouda bnine vanille x8 pots,20,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803857/jaouda_bnine_vanille_x8_pots_oqrmae.webp
jaouda caramel x8 pots,20,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803795/jaouda_caramel_x8_pots_cr9cy8.webp
jaouda Chocolat x8 pots,20,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803795/Jaouda_0AChocolat_x8_pots_z55uji.webp
jaouda cremy frais x8 pots,20,جبن والبان,https://res.cloudinary.com/dtfd1qbbi/image/upload/v1748803841/jaouda_cremy_frais_x8_pots_v3gr7l.webp
